Schema,Table,Type,Column,DataType,Length,Nullable
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_systems,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_timing,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_value,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_fivetran_synced,TIMESTAMP,-,YES
alteryx,alteryx_gong_call_interaction,VIEW,gong_call_interaction_call_id,STRING,0,YES
alteryx,alteryx_gong_call_interaction,VIEW,gong_call_interaction_name,STRING,0,YES
alteryx,alteryx_gong_call_interaction,VIEW,gong_call_interaction_value,DOUBLE,-,YES
alteryx,alteryx_gong_call_interaction,VIEW,gong_call_interaction_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_call_interaction,VIEW,gong_call_interaction_fivetran_synced,TIMESTAMP,-,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_id,LONG,-,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_call_id,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_affiliation,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_email_address,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_methods,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_name,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_phone_number,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_speaker_id,LONG,-,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_title,STRING,0,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_user_id,LONG,-,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_call_participant,VIEW,gong_call_participant_fivetran_synced,TIMESTAMP,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_tracker_id,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_affiliation,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_created,DATE,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_created_time,TIMESTAMP,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_creator_user_id,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_filter_query,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_part_of_question,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_said_at,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_tracker_name,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_updated,DATE,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_updated_time,TIMESTAMP,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_updater_user_id,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_workspace_id,STRING,0,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_tracker,VIEW,gong_tracker_fivetran_synced,TIMESTAMP,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_id,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_active,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_created,DATE,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_created_time,TIMESTAMP,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_email_address,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_emails_imported,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_first_name,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_gong_connect_enabled,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_last_name,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_manager_id,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_meeting_consent_page_url,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_non_recorded_meetings_imported,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_phone_number,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_prevent_email_import,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_prevent_web_conference_recording,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_telephony_calls_imported,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_title,STRING,0,YES
alteryx,alteryx_gong_users,VIEW,gong_users_web_conferences_recorded,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_users,VIEW,gong_users_fivetran_synced,TIMESTAMP,-,YES
